"DCID","ProductID","CurrentQuantity","ReorderPoint","LastUpdated"
1,1,1896,323,"2025-10-23T22:43:19.925515"
1,2,1070,120,"2025-10-23T22:43:19.925515"
1,3,2219,365,"2025-10-23T22:43:19.925515"
1,4,1599,78,"2025-10-23T22:43:19.925515"
1,5,4608,150,"2025-10-23T22:43:19.925515"
1,6,2233,126,"2025-10-23T22:43:19.925515"
1,7,1319,137,"2025-10-23T22:43:19.925515"
1,8,3667,212,"2025-10-23T22:43:19.925515"
1,9,2159,110,"2025-10-23T22:43:19.925515"
1,10,4055,199,"2025-10-23T22:43:19.925515"
1,11,2128,77,"2025-10-23T22:43:19.925515"
1,12,4033,81,"2025-10-23T22:43:19.925515"
1,13,3731,277,"2025-10-23T22:43:19.925515"
1,14,2790,262,"2025-10-23T22:43:19.925515"
1,15,3826,222,"2025-10-23T22:43:19.925515"
1,16,1221,164,"2025-10-23T22:43:19.925515"
1,17,3197,360,"2025-10-23T22:43:19.925515"
1,18,1684,227,"2025-10-23T22:43:19.925515"
1,19,4801,57,"2025-10-23T22:43:19.925515"
1,20,3309,345,"2025-10-23T22:43:19.925515"
1,21,4839,270,"2025-10-23T22:43:19.925515"
1,22,3458,237,"2025-10-23T22:43:19.925515"
1,23,4730,325,"2025-10-23T22:43:19.925515"
1,24,1823,289,"2025-10-23T22:43:19.925515"
1,25,1690,123,"2025-10-23T22:43:19.925515"
1,26,692,82,"2025-10-23T22:43:19.925515"
1,27,1443,185,"2025-10-23T22:43:19.925515"
1,28,2747,108,"2025-10-23T22:43:19.925515"
1,29,3892,152,"2025-10-23T22:43:19.925515"
1,30,2397,427,"2025-10-23T22:43:19.925515"
1,31,3425,409,"2025-10-23T22:43:19.925515"
1,32,3910,418,"2025-10-23T22:43:19.925515"
1,33,2603,57,"2025-10-23T22:43:19.925515"
1,34,4292,129,"2025-10-23T22:43:19.925515"
1,35,4353,329,"2025-10-23T22:43:19.925515"
1,36,1537,94,"2025-10-23T22:43:19.925515"
1,37,2922,55,"2025-10-23T22:43:19.925515"
1,38,1204,134,"2025-10-23T22:43:19.925515"
1,39,4908,463,"2025-10-23T22:43:19.925515"
1,40,2129,281,"2025-10-23T22:43:19.925515"
1,41,3259,499,"2025-10-23T22:43:19.925515"
1,42,4061,347,"2025-10-23T22:43:19.925515"
1,43,1608,141,"2025-10-23T22:43:19.925515"
1,44,703,50,"2025-10-23T22:43:19.925515"
1,45,3666,338,"2025-10-23T22:43:19.925515"
1,46,2381,266,"2025-10-23T22:43:19.925515"
1,47,3346,347,"2025-10-23T22:43:19.925515"
1,48,2795,326,"2025-10-23T22:43:19.925515"
1,49,2620,361,"2025-10-23T22:43:19.925515"
1,50,3153,442,"2025-10-23T22:43:19.925515"
1,51,4811,471,"2025-10-23T22:43:19.925515"
1,52,1987,394,"2025-10-23T22:43:19.925515"
1,53,2578,338,"2025-10-23T22:43:19.925515"
1,54,2125,281,"2025-10-23T22:43:19.925515"
1,55,1127,190,"2025-10-23T22:43:19.925515"
1,56,1624,286,"2025-10-23T22:43:19.925515"
1,57,2392,264,"2025-10-23T22:43:19.925515"
1,58,4891,499,"2025-10-23T22:43:19.925515"
1,59,2729,317,"2025-10-23T22:43:19.925515"
1,60,917,94,"2025-10-23T22:43:19.925515"
1,61,3863,280,"2025-10-23T22:43:19.925515"
1,62,1579,206,"2025-10-23T22:43:19.925515"
1,63,4078,220,"2025-10-23T22:43:19.925515"
1,64,4883,84,"2025-10-23T22:43:19.925515"
1,65,1182,141,"2025-10-23T22:43:19.925515"
1,66,760,142,"2025-10-23T22:43:19.925515"
1,67,2483,356,"2025-10-23T22:43:19.925515"
1,68,2113,62,"2025-10-23T22:43:19.925515"
1,69,4716,72,"2025-10-23T22:43:19.925515"
1,70,1867,287,"2025-10-23T22:43:19.925515"
1,71,4613,115,"2025-10-23T22:43:19.925515"
1,72,3316,400,"2025-10-23T22:43:19.925515"
1,73,916,103,"2025-10-23T22:43:19.925515"
1,74,3860,65,"2025-10-23T22:43:19.925515"
1,75,866,53,"2025-10-23T22:43:19.925515"
