"ID","City","State","ZipCode","District","Region"
1,"Torrington","CT","06790","Litchfield County","Northeast"
2,"Columbia","SC","29201","Midlands South Carolina","Southeast"
3,"Hopkins","IA","51464","Nodaway County","Midwest"
4,"Oglethorpe","GA","31068","Macon County","Southeast"
5,"Castle Rock","CO","80104","Douglas County","West"
6,"Newark","CA","94560","Alameda County","West"
7,"Meriden","CT","06450","New Haven County","Northeast"
8,"Molina","CO","81646","Mesa County","West"
9,"Dover","NH","03820","Strafford County","Northeast"
10,"Vallejo","CA","94591","Solano County","West"
11,"Watertown","NY","13601","Jefferson County","Northeast"
12,"Mansfield","TX","76063","Tarrant County","Southwest"
13,"Dalton","GA","30720","Northwest Georgia","Southeast"
14,"Castle Pines","CO","80108","Douglas County","West"
15,"Lone Tree","CO","80124","Douglas County","West"
16,"Marysville","CA","95901","Yuba County","West"
17,"Fremont","CA","94536","Alameda County","West"
18,"Ken Caryl","CO","80127","Jefferson County","West"
19,"What Cheer","IA","50268","Keokuk County","Midwest"
20,"Higganum","CT","06441","Middlesex County","Northeast"
21,"Sea Island","GA","31561","Southeast Georgia","Southeast"
22,"Rockfall","CT","06482","Middlesex County","Northeast"
23,"Haddam Neck","CT","06424","Middlesex County","Northeast"
24,"Greenwood","SC","29646","Upstate South Carolina","Southeast"
25,"Edgewater","CO","80214","Jefferson County","West"
26,"Higganum","CT","06443","Middlesex County","Northeast"
27,"Stratmoor Hills","CO","80906","El Paso County","West"
28,"New Sharon","IA","50207","Mahaska County","Midwest"
29,"Clinton","CT","06413","Middlesex County","Northeast"
30,"Jekyll Island","GA","31527","Southeast Georgia","Southeast"
31,"East Haddam","CT","06421","Middlesex County","Northeast"
32,"Manteca","CA","95336","San Joaquin County","West"
33,"Waterbury","CT","06701","New Haven County","Northeast"
34,"Rockfall","CT","06481","Middlesex County","Northeast"
35,"Keene","NH","03431","Cheshire County","Northeast"
36,"San Leandro","CA","94577","Alameda County","West"
37,"Newark","CA","94561","Alameda County","West"
38,"Rupert","GA","31081","Taylor County","Southeast"
39,"Norwalk","CT","06850","Fairfield County","Northeast"
40,"Billingsley","AL","36006","Autauga County","Southeast"
41,"Hayward","CA","94541","Alameda County","West"
42,"Livermore","CA","94550","Alameda County","West"
43,"Valdosta","GA","31602","South Georgia","Southeast"
44,"Waverly Hall","GA","31831","Harris County","Southeast"
45,"Hogansville","GA","30230","Troup County","Southeast"
46,"Sidney","IA","51652","Fremont County","Midwest"
47,"La Crosse","WI","54601","La Crosse County","Midwest"
48,"Elkhart","IN","46514","Elkhart County","Midwest"
49,"Parker","CO","80134","Douglas County","West"
50,"Clearfield","IA","50840","Taylor County","Midwest"
51,"Waterloo","IA","50701","Black Hawk County","Midwest"
52,"Haddam","CT","06443","Middlesex County","Northeast"
53,"Lakewood","CO","80215","Jefferson County","West"
54,"Smiths Station","AL","36877","Lee County","Southeast"
55,"University Park","IA","52595","Mahaska County","Midwest"
56,"Westbrook","CT","06496","Middlesex County","Northeast"
57,"Cascade","CO","80809","El Paso County","West"
58,"Audubon","IA","50025","Audubon County","Midwest"
59,"Old Saybrook","CT","06476","Middlesex County","Northeast"
60,"Air Force Academy","CO","80840","El Paso County","West"
61,"Ivoryton","CT","06442","Middlesex County","Northeast"
62,"Cherry Hills Village","CO","80113","Arapahoe County","West"
63,"Boulder","CO","80301","Boulder County","West"
64,"Waycross","GA","31501","Southeast Georgia","Southeast"
65,"Cottonton","AL","36851","Russell County","Southeast"
66,"Los Altos","CA","94022","Santa Clara County","West"
67,"Edwards","CO","81632","Eagle County","West"
68,"Woodland Park","CO","80863","Teller County","West"
69,"Lafayette","CO","80026","Boulder County","West"
70,"Columbia","IA","50057","Marion County","Midwest"
71,"Browns Valley","CA","95918","Yuba County","West"
72,"Los Gatos","CA","95030","Santa Clara County","West"
73,"Challenge","CA","95925","Yuba County","West"
74,"Talbotton","GA","31827","Talbot County","Southeast"
75,"Petaluma","CA","94952","Sonoma County","West"
76,"Luthersville","GA","30251","Meriwether County","Southeast"
77,"Otley","IA","50214","Marion County","Midwest"
78,"Bevington","IA","50033","Madison County","Midwest"
79,"Victor","CO","80860","Teller County","West"
80,"San Ramon","CA","94582","Contra Costa County","West"
81,"Aurora","IL","60502","Kane County","Midwest"
82,"Napa","CA","94558","Napa County","West"
83,"Alexander City","AL","35010","Tallapoosa County","Southeast"
84,"Fairview","NJ","07022","Bergen County","Northeast"
85,"Orinda","CA","94563","Contra Costa County","West"
86,"Atlantic","IA","50022","Cass County","Midwest"
87,"St. Marys","GA","31558","Southeast Georgia","Southeast"
88,"Fremont","CA","94538","Alameda County","West"
89,"Brookfield","WI","53005","Waukesha County","Midwest"
90,"Thornton","CO","80241","Adams County","West"
91,"Calistoga","CA","94515","Napa County","West"
92,"Angwin","CA","94508","Napa County","West"
93,"Woodland","GA","31836","Talbot County","Southeast"
94,"Dillon","CO","80424","Summit County","West"
95,"Clifton","CO","81520","Mesa County","West"
96,"Red Cliff","CO","81649","Eagle County","West"
97,"Essex","CT","06429","Middlesex County","Northeast"
98,"Manchester","GA","31816","Meriwether County","Southeast"
99,"Marshallville","GA","31057","Macon County","Southeast"
100,"Burlingame","CA","94010","San Mateo County","West"
